VARIABLE,DESCRIPTION,TYPE,UNITS,MINIMUM,MAXIMUM,CODED_VALUES,COMMENT
DTPABDSP,Specify abnormal abdomen,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPNEUR,Neurological,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPNEUR,Neurological,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPNEUR,Neurological,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPNEUR_C,Neurological - coded fields,String ,,,,,
DTPNERSP,Specify abn neurological,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPMUSCL,Musculoskeletal,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPMUSCL,Musculoskeletal,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPMUSCL,Musculoskeletal,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPMUSCL_C,Musculoskeletal - coded fields,String ,,,,,
DTPMSCSP,Specify abn musculosk,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPEXTRM,Extremities,"Integer, encoded value ",,1 ,9 ,1=Normal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPEXTRM,Extremities,"Integer, encoded value ",,1 ,9 ,2=Abnormal,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPEXTRM,Extremities,"Integer, encoded value ",,1 ,9 ,9=Not evaluated ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DTPEXTRM_C,Extremities - coded fields,String ,,,,,
DTPXTRSP,Specify abn extremities,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXHEENT,HEENT,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXHEENT,HEENT,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXHEENT_C,HEENT - coded fields,String ,,,,,
DHXHNTSP,HEENT specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXCARD,Cardiovascular,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXCARD,Cardiovascular,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXCARD_C,Cardiovascular - coded fields,String ,,,,,
DHXCRDSP,Cardio specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXPULM,Pulmonary,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXPULM,Pulmonary,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXPULM_C,Pulmonary - coded fields,String ,,,,,
DHXPLMSP,Pulmonary specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXGI,GI,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXGI,GI,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXGI_C,GI - coded fields,String ,,,,,
DHXGISP,GI specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXHEPAT,Hepatobiliary,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXHEPAT,Hepatobiliary,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXHEPAT_C,Hepatobiliary - coded fields,String ,,,,,
DHXHPSP,Hepatobiliary specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXRENAL,Renal,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXRENAL,Renal,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXRENAL_C,Renal - coded fields,String ,,,,,
DHXRNLSP,Renal specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXNEUR,Neurologic,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXNEUR,Neurologic,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXNEUR_C,Neurologic - coded fields,String ,,,,,
DHXNRSP,Neurologic spec,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXBLD,Blood lymphatic,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXBLD,Blood lymphatic,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXBLD_C,Blood lymphatic - coded fields,String ,,,,,
DHXBLSP,Blood lymph spec,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXENM,Endo metabolic,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXENM,Endo metabolic,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXENM_C,Endo metabolic - coded fields,String ,,,,,
DHXENMSP,Endo metabol spec,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXMUSCK,Musculoskeletal,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXMUSCK,Musculoskeletal,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXMUSCK_C,Musculoskeletal - coded fields,String ,,,,,
DHXMUCSP,Musculoskeletal specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXGENRP,Genital reproductive,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXGENRP,Genital reproductive,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXGENRP_C,Genital reproductive - coded fields,String ,,,,,
DHXGNRSP,Genital reprod specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXDERM,Dermatology,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXDERM,Dermatology,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXDERM_C,Dermatology - coded fields,String ,,,,,
DHXDRMSP,Dermatology specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXALRGS,Allergies,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXALRGS,Allergies,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXALRGS_C,Allergies - coded fields,String ,,,,,
DHXALRSP,Allergies specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXCANCR,Cancer,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXCANCR,Cancer,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXCANCR_C,Cancer - coded fields,String ,,,,,
DHXCNRSP,Cancer specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXIMMUN,Immunodeficiency,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXIMMUN,Immunodeficiency,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXIMMUN_C,Immunodeficiency - coded fields,String ,,,,,
DHXIMMSP,Immunodeficiency specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXALCHL,Drug alcohol dependance,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXALCHL,Drug alcohol dependance,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXALCHL_C,Drug alcohol dependance - coded fields,String ,,,,,
DHXALCSP,Drug alcohol specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXATIMM,Autoimmune,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXATIMM,Autoimmune,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXATIMM_C,Autoimmune - coded fields,String ,,,,,
DHXATMSP,Autoimmune specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXSURG,Medical surgical hx,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXSURG,Medical surgical hx,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXSURG_C,Medical surgical hx - coded fields,String ,,,,,
DHXSRGSP,Medical surgic hx specify,String ,,,,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXMEDAB,Unresolved med abnormalty,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXMEDAB,Unresolved med abnormalty,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXMEDAB_C,Unresolved med abnormalty - coded fields,String ,,,,,
DHXACTDS,Acute disease,"Integer, encoded value ",,0 ,1 ,0=No,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXACTDS,Acute disease,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DHXACTDS_C,Acute disease - coded fields,String ,,,,,
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,001=1,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,002=2,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,003=3,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,004=4,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,005=5,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,006=6,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,007=7,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,008=8,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,009=9,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,010=10,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,011=11,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,012=12,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,013=13,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,014=14,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,015=15,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,016=16,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,017=17,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,018=18,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,019=19,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,020=20,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,021=21,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,022=22,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,023=23,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,024=24,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,025=25,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,026=26,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,027=27,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,028=28,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,029=29,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,030=30,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,031=31,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,032=32,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,033=33,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,034=34,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,035=35,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,036=36,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,037=37,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,038=38,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,039=39,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,040=40,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,041=41,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,042=42,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,043=43,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,044=44,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,045=45,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,046=46,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,047=47,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,048=48,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,049=49,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
MEDNUM,Medication number,"Integer, encoded value ",,1 ,50 ,050=50 ,Medication number is used as a unique field identifier to allow submission of multiple medications for a single subject 
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,01=1=Analgesics/NSAIDS,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,02=2=Anesthetics,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,03=3=Antacids/H2 antagonists,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,04=4=Anti-acne,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,05=5=Anti-asthma/bronchodilators,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,06=6=Anti-cholesterol/Anti-hyperlipidemic,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,07=7=Anti-coagulants,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,"08=8=Antibiotics/(anti)-infectives, parasitics, microbials",
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,09=9=Antidepressants/mood-altering drugs,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,10=10=Antihistamines/Decongestants,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,11=11=Antihypertensives,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,"12=12=Cardiovascular, other than hyperlipidemic/HTN",
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,"13=13=Contraceptives (oral, implant, injectable)",
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,14=14=Emergency/support medications,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,15=15=Endocrine/Metabolic agents,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,"16=16=GI meds (anti-diarrheal, emetic, spasmodics)",
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,17=17=Herbal/homeopathic products,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,18=18=Hormones/steroids,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,19=19=OTC cold & flu,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,20=20=Vaccine prophylaxis,
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,"21=21=Vitamins, minerals, food supplements",
DCMCODE,Medication code,"Integer, encoded value ",,1 ,99 ,99=99=Other ,
DCMCODE_C,Medication code - coded fields,String ,,,,,
DCMIND,Indication,String ,,,,,
DCMONGO,Medication ongoing,"Integer, encoded value ",,0 ,1 ,0=No,
DCMONGO,Medication ongoing,"Integer, encoded value ",,0 ,1 ,1=Yes ,
DCMONGO_C,Medication ongoing - coded fields,String ,,,,,
DCMDAYS,Duration of medication,Integer ,days ,0 ,9999999999 ,,
MSTART,Medication start period relative to enrollment (days),Integer ,days ,-9999999999 ,9999999999 ,,"Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DCMESTD,Medication start period is estimated,"Integer, encoded value ",,0 ,1 ,1=Yes ,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
DCMESTD_C,Medication start period is estimated - coded fields,String ,,,,,
MSTOP,Medication stop period relative to enrollment (days),Integer ,days ,-9999999999 ,9999999999 ,,"'Gated field', defined as a data that will not be released to dbGaP until all subjects have been enrolled, and data is reviewed to confirm that there is no possibility of subject identification. "
HMPCONSN,Subject Consent,"Integer, encoded value ",,,,1=Human Microbiome Research (HMP) ,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q3_2008,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q4_2008,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q1_2009,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q2_2009,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q3_2009,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q4_2009,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q1_2010,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q2_2010,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q3_2010,
START,"Enrollment/First sampling indicated as quarter and year e.g., Q1_2009. The date of enrollment (not provided as a date to dbGAP) sets the subject timeline for all events, enrollment = Day 0, all other periods are provided as days pre or post this Day 0 event.",Encoded ,,,,Q4_2010 ,
GENDER,Gender,"Integer, Encoded Value ",,0 ,1 ,0=Male,
GENDER,Gender,"Integer, Encoded Value ",,0 ,1 ,1=Female ,
GENDER_C,Gender - coded fields,String ,,,,,
